"","Date.x","Station.x","get_ts","get_map","Station"
"180",2020-11-20 05:26:15,"P3",0.171495028856721,0.14,"P3"
"181",2020-11-21 17:14:35,"B1",0.186741892651914,0.18,"B1"
"182",2020-11-21 17:14:35,"B2",0.147885796518737,0.14,"B2"
"183",2020-11-21 17:14:35,"B3",0.225146407816316,0.1,"B3"
"184",2020-11-21 17:14:35,"I1",0.163067995601717,0.19,"I1"
"185",2020-11-21 17:14:35,"I3",0.161089462976109,0.16,"I3"
"186",2020-11-21 17:14:35,"P1",0.22912405988329,0.18,"P1"
"187",2020-11-21 17:14:35,"P2",0.121009038115898,0.17,"P2"
"188",2020-11-21 17:14:35,"P3",0.171495028856721,0.2,"P3"
"189",2020-11-22 17:07:09,"B1",0.186444591503016,0.18,"B1"
"190",2020-11-22 17:07:09,"B2",0.146753424705073,0.14,"B2"
"191",2020-11-22 17:07:09,"B3",0.254445888792572,0.17,"B3"
"192",2020-11-22 17:07:09,"I1",0.155617839515063,0.18,"I1"
"193",2020-11-22 17:07:09,"I3",0.178403544140578,0.17,"I3"
"194",2020-11-22 17:07:09,"P1",0.181388407199655,0.18,"P1"
"195",2020-11-22 17:07:09,"P2",0.16084572396126,0.17,"P2"
"196",2020-11-22 17:07:09,"P3",0.171495028856721,0.17,"P3"
"197",2020-11-26 05:27:19,"B1",0.180726344176076,0.16,"B1"
"198",2020-11-26 05:27:19,"B2",0.110593396435052,0.16,"B2"
"199",2020-11-26 05:27:19,"B3",0.247503206987243,0.11,"B3"
"200",2020-11-26 05:27:19,"I1",0.138842867155984,0.23,"I1"
"201",2020-11-26 05:27:19,"I3",0.155500190543534,0.17,"I3"
"202",2020-11-26 05:27:19,"P1",0.197790011372408,0.21,"P1"
"203",2020-11-26 05:27:19,"P2",0.135884147249575,0.21,"P2"
"204",2020-11-26 05:27:19,"P3",0.129467231516328,0.2,"P3"
"205",2020-11-27 17:15:29,"B1",0.177278093189992,0.15,"B1"
"206",2020-11-27 17:15:29,"B2",0.15133034589423,0.15,"B2"
"207",2020-11-27 17:15:29,"B3",0.254445888792572,0.1,"B3"
"208",2020-11-27 17:15:29,"I1",0.155617839515063,0.19,"I1"
"209",2020-11-27 17:15:29,"I3",0.146068069086537,0.16,"I3"
"210",2020-11-27 17:15:29,"P1",0.179545769253891,0.18,"P1"
"211",2020-11-27 17:15:29,"P2",0.14377060456861,0.2,"P2"
"212",2020-11-27 17:15:29,"P3",0.171495028856721,0.17,"P3"
"213",2020-11-28 17:06:26,"B1",0.184938414245424,0.15,"B1"
"214",2020-11-28 17:06:26,"B2",0.143054838516405,0.12,"B2"
"215",2020-11-28 17:06:26,"B3",0.252524149703424,0.11,"B3"
"216",2020-11-28 17:06:26,"I1",0.151695563825689,0.18,"I1"
"217",2020-11-28 17:06:26,"I3",0.154803314938561,0.16,"I3"
"218",2020-11-28 17:06:26,"P1",0.209315040288711,0.19,"P1"
"219",2020-11-28 17:06:26,"P2",0.160063785509856,0.16,"P2"
"220",2020-11-28 17:06:26,"P3",0.169589543649438,0.16,"P3"
"221",2021-05-25 05:26:53,"S4",0.238471186576004,0.27,"S4"
"222",2021-05-25 05:27:18,"B3",0.227148378441896,0.11,"B3"
"223",2021-05-26 17:15:29,"B3",0.215403475832077,0.12,"B3"
"224",2021-05-26 17:15:29,"S4",0.226350349534694,0.13,"S4"
"225",2021-05-27 17:06:39,"B3",0.249890953373968,0.15,"B3"
"226",2021-05-27 17:06:39,"S4",0.219063227821626,0.12,"S4"
"227",2021-05-31 05:26:14,"B2",NA,0.13,"B2"
"228",2021-05-31 05:26:14,"B3",0.227148378441896,0.12,"B3"
"229",2021-05-31 05:26:14,"I1",NA,0.16,"I1"
"230",2021-05-31 05:26:14,"I3",NA,0.18,"I3"
"231",2021-05-31 05:26:14,"P1",NA,0.15,"P1"
"232",2021-05-31 05:26:14,"P2",NA,0.22,"P2"
"233",2021-05-31 05:26:14,"S4",0.206808200432185,0.16,"S4"
"234",2021-06-01 17:14:35,"B2",NA,0.18,"B2"
"235",2021-06-01 17:14:35,"B3",0.220017666091907,0.13,"B3"
"236",2021-06-01 17:14:35,"I1",NA,0.16,"I1"
"237",2021-06-01 17:14:35,"I3",NA,0.2,"I3"
"238",2021-06-01 17:14:35,"P1",NA,0.24,"P1"
"239",2021-06-01 17:14:35,"P2",NA,0.21,"P2"
"240",2021-06-01 17:14:35,"S4",0.229316089667518,0.21,"S4"
"241",2021-06-02 17:07:09,"B2",NA,0.12,"B2"
"242",2021-06-02 17:07:09,"B3",0.218405162191742,0.18,"B3"
"243",2021-06-02 17:07:09,"I1",NA,0.16,"I1"
"244",2021-06-02 17:07:09,"I3",NA,0.18,"I3"
"245",2021-06-02 17:07:09,"P1",NA,0.18,"P1"
"246",2021-06-02 17:07:09,"P2",NA,0.17,"P2"
"247",2021-06-02 17:07:09,"S4",0.215298602991898,0.14,"S4"
"248",2021-06-06 05:26:54,"S4",0.226350349534694,0.16,"S4"
"249",2021-06-06 05:27:19,"B2",NA,0.17,"B2"
"250",2021-06-06 05:27:19,"B3",0.234343924317846,0.16,"B3"
"251",2021-06-06 05:27:19,"I1",NA,0.27,"I1"
"252",2021-06-06 05:27:19,"I3",NA,0.19,"I3"
"253",2021-06-06 05:27:19,"P1",NA,0.22,"P1"
"254",2021-06-06 05:27:19,"P2",NA,0.25,"P2"
"255",2021-06-07 17:15:30,"B2",NA,0.16,"B2"
"256",2021-06-07 17:15:30,"B3",0.213489428411949,0.14,"B3"
"257",2021-06-07 17:15:30,"I1",NA,0.21,"I1"
"258",2021-06-07 17:15:30,"I3",NA,0.17,"I3"
"259",2021-06-07 17:15:30,"P1",NA,0.28,"P1"
"260",2021-06-07 17:15:30,"P2",NA,0.27,"P2"
"261",2021-06-07 17:15:30,"S4",0.255644700665591,0.27,"S4"
"262",2021-06-12 05:26:15,"B2",0.274166597563151,0.18,"B2"
"263",2021-06-12 05:26:15,"B3",0.25607370828579,0.11,"B3"
"264",2021-06-12 05:26:15,"I1",0.251739010936874,0.17,"I1"
"265",2021-06-12 05:26:15,"I3",0.280815003328114,0.16,"I3"
"266",2021-06-12 05:26:15,"P1",0.178726772600623,0.2,"P1"
"267",2021-06-12 05:26:15,"P2",0.172656162255298,0.16,"P2"
"268",2021-06-12 05:26:15,"P3",0.166248109986015,0.16,"P3"
"269",2021-06-12 05:26:15,"S4",0.226350349534694,0.16,"S4"
"270",2021-06-13 17:14:36,"B2",0.272769499234616,0.11,"B2"
"271",2021-06-13 17:14:36,"B3",0.272937333933765,0.13,"B3"
"272",2021-06-13 17:14:36,"I1",0.264742503779549,0.2,"I1"
"273",2021-06-13 17:14:36,"I3",0.270446368670259,0.17,"I3"
"274",2021-06-13 17:14:36,"P1",0.186683314641362,0.21,"P1"
"275",2021-06-13 17:14:36,"P2",0.198306342544824,0.22,"P2"
"276",2021-06-13 17:14:36,"P3",0.13450360044363,0.19,"P3"
"277",2021-06-13 17:14:36,"S4",0.183486116791694,0.16,"S4"
"278",2021-06-18 05:26:55,"S4",0.179455054231271,0.15,"S4"
"279",2021-06-18 05:27:20,"B2",0.262371130075497,0.16,"B2"
"280",2021-06-18 05:27:20,"B3",0.280611308574747,0.13,"B3"
"281",2021-06-18 05:27:20,"I1",0.265164664252027,0.16,"I1"
"282",2021-06-18 05:27:20,"I3",0.280815003328114,0.15,"I3"
"283",2021-06-18 05:27:20,"P1",0.186683314641362,0.18,"P1"
"284",2021-06-18 05:27:20,"P2",0.192149181283672,0.17,"P2"
"285",2021-06-18 05:27:20,"P3",0.166248109986015,0.17,"P3"
"286",2021-06-19 17:15:31,"B2",0.280143600773827,0.17,"B2"
"287",2021-06-19 17:15:31,"B3",0.247287705225548,0.17,"B3"
"288",2021-06-19 17:15:31,"I1",0.265164664252027,0.22,"I1"
"289",2021-06-19 17:15:31,"I3",0.276513870713617,0.17,"I3"
"290",2021-06-19 17:15:31,"P1",0.172288245341828,0.26,"P1"
"291",2021-06-19 17:15:31,"P2",0.176423058191816,0.18,"P2"
"292",2021-06-19 17:15:31,"P3",0.137937249997722,0.21,"P3"
"293",2021-06-19 17:15:31,"S4",0.180014994687147,0.14,"S4"
"294",2021-06-20 17:06:36,"B2",0.294353635558576,0.2,"B2"
"295",2021-06-20 17:06:36,"B3",0.248123387176957,0.15,"B3"
"296",2021-06-20 17:06:36,"I1",0.265240077127713,0.25,"I1"
"297",2021-06-20 17:06:36,"I3",0.270756930537232,0.21,"I3"
"298",2021-06-20 17:06:36,"P1",0.207688941660755,0.22,"P1"
"299",2021-06-20 17:06:36,"P2",0.192149181283672,0.19,"P2"
"300",2021-06-20 17:06:36,"P3",0.137937249997722,0.23,"P3"
"301",2021-06-20 17:06:36,"S4",0.223473718692784,0.26,"S4"
"302",2021-06-24 05:26:16,"B2",0.252414450148909,0.14,"B2"
"303",2021-06-24 05:26:16,"B3",0.229755955657001,0.17,"B3"
"304",2021-06-24 05:26:16,"I1",0.251045884439779,0.17,"I1"
"305",2021-06-24 05:26:16,"I3",0.309050203347595,0.24,"I3"
"306",2021-06-24 05:26:16,"P1",0.152774984160904,0.18,"P1"
"307",2021-06-24 05:26:16,"P2",0.197961886602799,0.18,"P2"
"308",2021-06-24 05:26:16,"P3",0.169574961950228,0.23,"P3"
"309",2021-06-24 05:26:16,"S4",0.177217762906983,0.3,"S4"
"310",2021-06-25 17:14:36,"B2",0.262812819308028,0.15,"B2"
"311",2021-06-25 17:14:36,"B3",0.21492747796496,0.12,"B3"
"312",2021-06-25 17:14:36,"I1",0.243066326082982,0.2,"I1"
"313",2021-06-25 17:14:36,"I3",0.28491605063579,0.16,"I3"
"314",2021-06-25 17:14:36,"P1",0.186683314641362,0.19,"P1"
"315",2021-06-25 17:14:36,"P2",0.181847963327504,0.2,"P2"
"316",2021-06-25 17:14:36,"P3",0.129440547189955,0.23,"P3"
"317",2021-06-25 17:14:36,"S4",0.179455054231271,0.17,"S4"
"318",2021-06-26 17:07:10,"B2",0.267819079196343,0.16,"B2"
"319",2021-06-26 17:07:10,"I1",0.25557619017135,0.17,"I1"
"320",2021-06-26 17:07:10,"I3",0.270756930537232,0.15,"I3"
"321",2021-06-26 17:07:10,"M2",0.19442853717995,0.22,"M2"
"322",2021-06-26 17:07:10,"P1",0.17888920595999,0.18,"P1"
"323",2021-06-26 17:07:10,"P2",0.144642648029589,0.16,"P2"
"324",2021-06-26 17:07:10,"P3",0.129440547189955,0.18,"P3"
"325",2021-06-30 05:26:56,"M2",0.197463181434765,0.2,"M2"
"326",2021-06-30 05:27:21,"B2",0.281101805283912,0.13,"B2"
"327",2021-06-30 05:27:21,"I1",0.26347585637532,0.22,"I1"
"328",2021-06-30 05:27:21,"I3",0.304524183242569,0.17,"I3"
"329",2021-06-30 05:27:21,"P1",0.186823009406953,0.17,"P1"
