"","Station_na","Land_use","Aspect","Latitude","Longitude","Altitude","Altitude_a","Date","Pred_20m_map","SMC_map_20m"
"149","M2","Pasture","Flat",46.71110568,10.69164718,2180,2200,"20201006_165809",NA,NA
"150","M3","Pasture","Flat",46.76683822,10.70120078,2332,2300,"20201006_165809",NA,NA
"151","M5","Pasture","South",46.70135815,10.61585587,1823,1800,"20201006_165809",NA,NA
"152","I1","Meadow","South",46.68700896,10.57969321,1490,1500,"20201006_165809",NA,NA
"153","I3","Meadow","South",46.6840937,10.58166556,1430,1400,"20201006_165809",NA,NA
"154","P1","Pasture","South",46.685863,10.58294569,1526,1500,"20201006_165809",NA,NA
"155","P2","Pasture","South",46.68424929,10.5850562,1549,1500,"20201006_165809",NA,NA
"156","P3","Pasture","South",46.68514431,10.58575536,1577,1600,"20201006_165809",NA,NA
"157","XS6","Forest","North",46.68895823,10.63043102,1778,1800,"20201006_165809",NA,NA
"158","S2","Meadow","South",46.6988975,10.61923275,1635,1600,"20201006_165809",NA,NA
"159","S3","Pasture","Flat",46.76671,10.71079,2680,2700,"20201006_165809",NA,NA
"160","S4","Pasture","South",46.706995,10.602312,2353,2400,"20201006_165809",NA,NA
"161","M4","Pasture","Flat",46.74048467,10.69699228,1986,2000,"20201006_165809",NA,NA
"162","M4s","Bare soil","Flat",46.74219931,10.69901896,2010,2000,"20201006_165809",NA,NA
"163","F6","Forest","North",46.695578,10.648088,2360,2400,"20201006_165809",NA,NA
"164","F5","Forest","South",46.73886,10.68865,2090,2100,"20201006_165809",NA,NA
"165","F4","Forest","North",46.69865,10.64211,2027,2000,"20201006_165809",NA,NA
"166","F3","Forest","South",46.69759,10.60724,1985,2000,"20201006_165809",NA,NA
"167","F2","Forest","South",46.69435,10.61268,1710,1700,"20201006_165809",NA,NA
"168","F1","Forest","South",46.67776,10.577797,1154,1200,"20201006_165809",NA,NA
"169","B1","Meadow","South",46.66121887,10.59024912,990,1000,"20201008_053409",NA,NA
"170","B2","Meadow","South",46.6862577,10.5798452,1490,1500,"20201008_053409",NA,NA
"171","B3","Meadow","Flat",46.69173286,10.59188535,1930,2000,"20201008_053409",NA,NA
"172","M1","Meadow","South",46.71328209,10.6412642,1839,1800,"20201008_053409",NA,NA
"173","M2","Pasture","Flat",46.71110568,10.69164718,2180,2200,"20201008_053409",NA,NA
"174","M3","Pasture","Flat",46.76683822,10.70120078,2332,2300,"20201008_053409",NA,NA
"175","M5","Pasture","South",46.70135815,10.61585587,1823,1800,"20201008_053409",NA,NA
"176","I1","Meadow","South",46.68700896,10.57969321,1490,1500,"20201008_053409",NA,NA
"177","I3","Meadow","South",46.6840937,10.58166556,1430,1400,"20201008_053409",NA,NA
"178","P1","Pasture","South",46.685863,10.58294569,1526,1500,"20201008_053409",NA,NA
"179","P2","Pasture","South",46.68424929,10.5850562,1549,1500,"20201008_053409",NA,NA
"180","P3","Pasture","South",46.68514431,10.58575536,1577,1600,"20201008_053409",NA,NA
"181","XS6","Forest","North",46.68895823,10.63043102,1778,1800,"20201008_053409",NA,NA
"182","S2","Meadow","South",46.6988975,10.61923275,1635,1600,"20201008_053409",NA,NA
"183","S3","Pasture","Flat",46.76671,10.71079,2680,2700,"20201008_053409",NA,NA
"184","S4","Pasture","South",46.706995,10.602312,2353,2400,"20201008_053409",NA,NA
"185","M4","Pasture","Flat",46.74048467,10.69699228,1986,2000,"20201008_053409",NA,NA
"186","M4s","Bare soil","Flat",46.74219931,10.69901896,2010,2000,"20201008_053409",NA,NA
"187","F6","Forest","North",46.695578,10.648088,2360,2400,"20201008_053409",NA,NA
"188","F5","Forest","South",46.73886,10.68865,2090,2100,"20201008_053409",NA,NA
"189","F4","Forest","North",46.69865,10.64211,2027,2000,"20201008_053409",NA,NA
"190","F3","Forest","South",46.69759,10.60724,1985,2000,"20201008_053409",NA,NA
"191","F2","Forest","South",46.69435,10.61268,1710,1700,"20201008_053409",NA,NA
"192","F1","Forest","South",46.67776,10.577797,1154,1200,"20201008_053409",NA,NA
"193","B1","Meadow","South",46.66121887,10.59024912,990,1000,"20201009_052655",0.2,NA
"194","B2","Meadow","South",46.6862577,10.5798452,1490,1500,"20201009_052655",0.13,NA
"195","B3","Meadow","Flat",46.69173286,10.59188535,1930,2000,"20201009_052655",0.12,NA
"196","M1","Meadow","South",46.71328209,10.6412642,1839,1800,"20201009_052655",NA,NA
"197","M2","Pasture","Flat",46.71110568,10.69164718,2180,2200,"20201009_052655",NA,NA
"198","M3","Pasture","Flat",46.76683822,10.70120078,2332,2300,"20201009_052655",NA,NA
"199","M5","Pasture","South",46.70135815,10.61585587,1823,1800,"20201009_052655",NA,NA
"200","I1","Meadow","South",46.68700896,10.57969321,1490,1500,"20201009_052655",0.19,NA
"201","I3","Meadow","South",46.6840937,10.58166556,1430,1400,"20201009_052655",0.21,NA
"202","P1","Pasture","South",46.685863,10.58294569,1526,1500,"20201009_052655",0.2,NA
"203","P2","Pasture","South",46.68424929,10.5850562,1549,1500,"20201009_052655",0.31,NA
"204","P3","Pasture","South",46.68514431,10.58575536,1577,1600,"20201009_052655",0.16,NA
"205","XS6","Forest","North",46.68895823,10.63043102,1778,1800,"20201009_052655",NA,NA
"206","S2","Meadow","South",46.6988975,10.61923275,1635,1600,"20201009_052655",NA,NA
"207","S3","Pasture","Flat",46.76671,10.71079,2680,2700,"20201009_052655",NA,NA
"208","S4","Pasture","South",46.706995,10.602312,2353,2400,"20201009_052655",0.15,NA
"209","M4","Pasture","Flat",46.74048467,10.69699228,1986,2000,"20201009_052655",NA,NA
"210","M4s","Bare soil","Flat",46.74219931,10.69901896,2010,2000,"20201009_052655",NA,NA
"211","F6","Forest","North",46.695578,10.648088,2360,2400,"20201009_052655",NA,NA
"212","F5","Forest","South",46.73886,10.68865,2090,2100,"20201009_052655",NA,NA
"213","F4","Forest","North",46.69865,10.64211,2027,2000,"20201009_052655",NA,NA
"214","F3","Forest","South",46.69759,10.60724,1985,2000,"20201009_052655",NA,NA
"215","F2","Forest","South",46.69435,10.61268,1710,1700,"20201009_052655",0.2,NA
"216","F1","Forest","South",46.67776,10.577797,1154,1200,"20201009_052655",0.2,NA
"217","B1","Meadow","South",46.66121887,10.59024912,990,1000,"20201010_051803",NA,NA
"218","B2","Meadow","South",46.6862577,10.5798452,1490,1500,"20201010_051803",NA,NA
"219","B3","Meadow","Flat",46.69173286,10.59188535,1930,2000,"20201010_051803",NA,NA
"220","M1","Meadow","South",46.71328209,10.6412642,1839,1800,"20201010_051803",NA,NA
"221","M2","Pasture","Flat",46.71110568,10.69164718,2180,2200,"20201010_051803",NA,NA
"222","M3","Pasture","Flat",46.76683822,10.70120078,2332,2300,"20201010_051803",NA,NA
"223","M5","Pasture","South",46.70135815,10.61585587,1823,1800,"20201010_051803",NA,NA
"224","I1","Meadow","South",46.68700896,10.57969321,1490,1500,"20201010_051803",NA,NA
"225","I3","Meadow","South",46.6840937,10.58166556,1430,1400,"20201010_051803",NA,NA
"226","P1","Pasture","South",46.685863,10.58294569,1526,1500,"20201010_051803",NA,NA
"227","P2","Pasture","South",46.68424929,10.5850562,1549,1500,"20201010_051803",NA,NA
"228","P3","Pasture","South",46.68514431,10.58575536,1577,1600,"20201010_051803",NA,NA
"229","XS6","Forest","North",46.68895823,10.63043102,1778,1800,"20201010_051803",NA,NA
"230","S2","Meadow","South",46.6988975,10.61923275,1635,1600,"20201010_051803",NA,NA
"231","S3","Pasture","Flat",46.76671,10.71079,2680,2700,"20201010_051803",NA,NA
"232","S4","Pasture","South",46.706995,10.602312,2353,2400,"20201010_051803",NA,NA
"233","M4","Pasture","Flat",46.74048467,10.69699228,1986,2000,"20201010_051803",NA,NA
"234","M4s","Bare soil","Flat",46.74219931,10.69901896,2010,2000,"20201010_051803",NA,NA
"235","F6","Forest","North",46.695578,10.648088,2360,2400,"20201010_051803",NA,NA
"236","F5","Forest","South",46.73886,10.68865,2090,2100,"20201010_051803",NA,NA
"237","F4","Forest","North",46.69865,10.64211,2027,2000,"20201010_051803",NA,NA
"238","F3","Forest","South",46.69759,10.60724,1985,2000,"20201010_051803",NA,NA
